Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
795-37-4782,18,Female,2.56,17.0,4.7,7.5,7.3,1,5,3,3,7,Yes,3,"Excessive Screen Time, Isolation",5,Yes,Yes,4
717-46-4687,24,Female,4.0,19.0,0.9,5.3,0.0,2,3,1,2,5,No,2,"Meditation, Journaling",1,Yes,Yes,1
531-35-5421,21,Male,3.39,23.0,4.2,5.3,0.0,1,4,2,1,5,Yes,5,"Family Interaction, Meditation",5,No,No,2
727-06-5275,23,Male,2.74,20.0,3.5,7.2,5.7,4,4,4,3,6,No,3,"Meditation, Family Interaction",1,Yes,No,4
810-17-3394,18,Male,1.65,5.0,5.4,7.0,4.7,5,5,1,3,5,No,3,"Meditation, Journaling",5,No,Yes,4
378-69-3253,20,Male,4.0,32.0,3.4,6.1,0.7,5,4,2,5,5,No,5,"Exercise, Journaling",3,No,Yes,4
615-18-5641,21,Agender,2.21,14.0,3.3,7.0,1.0,3,1,5,4,7,Yes,1,"Isolation, Substance Use",2,Yes,Yes,3
698-34-8160,21,Male,2.08,27.0,5.5,8.7,1.1,4,1,2,1,3,No,5,"Exercise, Journaling",3,No,No,3
383-96-7385,20,Female,3.41,46.0,4.7,7.6,4.3,1,2,1,3,5,No,4,"Meditation, Exercise",2,Yes,No,4
702-64-1654,22,Male,4.0,16.0,4.6,5.4,2.1,1,4,3,5,7,Yes,5,"Excessive Screen Time, Isolation",4,No,No,5
740-09-9764,19,Agender,3.59,0.0,4.9,6.7,5.5,5,2,4,1,5,No,1,"Journaling, Family Interaction",1,Yes,No,3
326-55-5707,21,Female,3.18,22.0,0.9,5.8,0.0,5,3,5,4,5,No,5,"Exercise, Journaling",1,No,No,2
320-56-4479,21,Polygender,3.2,36.0,5.5,6.3,1.4,2,1,2,3,5,No,3,"Family Interaction, Journaling",4,Yes,No,3
383-97-0460,22,Female,3.33,45.0,5.2,6.3,0.6,5,3,1,3,5,No,2,"Family Interaction, Exercise",5,No,No,5
738-49-0188,22,Male,3.28,13.0,2.0,6.2,3.2,2,5,1,3,6,Yes,3,"Journaling, Family Interaction",4,Yes,No,1
711-55-4152,19,Male,3.04,30.0,3.5,5.3,2.4,1,1,4,1,6,Yes,2,"Journaling, Family Interaction",4,Yes,Yes,3
176-78-6541,18,Female,2.95,20.0,3.9,6.6,6.4,2,3,1,1,4,No,5,"Meditation, Journaling",2,Yes,No,4
781-40-2585,24,Male,2.87,24.0,3.7,6.1,0.0,2,5,1,1,5,Yes,4,"Family Interaction, Meditation",4,Yes,Yes,4
499-98-4339,22,Female,2.52,51.0,4.7,3.3,4.1,3,3,4,1,5,No,5,"Family Interaction, Meditation",1,Yes,No,4
605-26-6514,20,Genderqueer,2.76,10.0,6.9,9.3,5.7,5,5,5,5,8,Yes,1,"Isolation, Excessive Screen Time",3,No,No,1
586-80-7262,24,Female,2.05,28.0,6.2,8.1,9.6,2,5,3,2,6,No,5,"Journaling, Meditation",2,No,Yes,5
271-48-3454,21,Male,2.85,30.0,1.4,6.3,2.6,1,1,3,5,7,Yes,2,"Isolation, Excessive Screen Time",2,No,Yes,2
209-98-0785,23,Female,2.41,36.0,5.2,6.8,5.0,4,2,2,3,5,No,3,"Exercise, Family Interaction",5,Yes,No,5
443-31-3477,21,Polygender,2.35,26.0,6.7,5.4,0.0,2,5,5,5,8,No,4,"Substance Use, Excessive Screen Time",3,Yes,No,1
519-06-1329,25,Genderqueer,2.99,28.0,4.8,8.8,0.0,5,5,2,4,5,No,5,"Family Interaction, Exercise",2,No,Yes,4
804-52-3208,25,Genderfluid,3.6,21.0,6.2,9.1,6.5,3,1,3,1,4,No,5,"Exercise, Family Interaction",4,Yes,Yes,5
481-77-7907,21,Male,3.36,28.0,8.0,7.0,4.0,1,2,4,4,7,No,3,"Excessive Screen Time, Isolation",2,Yes,Yes,2
674-98-1276,23,Female,2.11,22.0,6.0,8.0,7.5,3,4,1,4,5,No,4,"Journaling, Meditation",2,No,No,4
707-05-8481,22,Female,2.41,31.0,4.5,7.0,0.0,4,4,3,3,5,No,5,"Journaling, Family Interaction",2,Yes,Yes,2
325-94-1580,24,Female,3.37,21.0,6.1,5.2,5.6,2,2,5,1,5,No,5,"Meditation, Journaling",5,Yes,Yes,3
752-96-2019,19,Female,2.41,29.0,4.3,6.3,9.6,2,3,3,4,7,No,2,"Isolation, Overthinking",2,Yes,No,2
428-78-6391,22,Male,2.79,25.0,4.0,7.0,5.3,5,1,5,3,5,Yes,2,"Meditation, Journaling",2,No,No,4
464-11-5678,23,Female,3.18,36.0,3.3,6.3,4.8,2,2,5,1,6,No,1,"Meditation, Journaling",5,Yes,No,3
651-96-1453,18,Male,2.42,24.0,7.1,6.5,4.0,1,4,5,2,7,No,3,"Excessive Screen Time, Substance Use",3,Yes,Yes,4
530-09-1717,19,Male,2.95,7.0,2.4,6.7,0.0,4,5,2,3,5,No,4,"Exercise, Family Interaction",1,Yes,Yes,4
309-47-7464,18,Female,2.23,38.0,7.1,6.7,8.1,3,4,4,5,6,No,5,"Journaling, Exercise",5,No,Yes,3
334-92-9954,20,Male,2.6,16.0,5.0,6.9,2.2,4,5,3,1,5,Yes,5,"Family Interaction, Meditation",5,No,No,2
463-37-4141,22,Female,3.06,18.0,1.2,5.5,5.5,2,1,4,4,7,No,1,"Isolation, Excessive Screen Time",2,No,Yes,1
788-73-1307,24,Female,2.1,19.0,4.7,5.9,0.0,3,5,1,4,5,Yes,5,"Journaling, Exercise",2,Yes,No,1
892-74-2771,21,Male,3.12,39.0,0.0,5.3,0.5,5,2,3,5,5,No,3,"Family Interaction, Meditation",1,No,Yes,1
241-23-6708,24,Female,2.89,4.0,5.3,8.0,8.3,4,5,4,5,8,Yes,1,"Excessive Screen Time, Isolation",2,Yes,Yes,1
545-56-1934,18,Female,3.18,56.0,5.8,4.3,3.0,3,3,4,4,6,No,3,"Exercise, Journaling",4,Yes,Yes,5
477-22-8639,18,Female,3.01,36.0,2.8,8.2,8.4,3,2,1,1,5,No,1,"Journaling, Family Interaction",2,No,Yes,1
335-88-9255,21,Female,3.58,27.0,4.2,8.5,3.8,3,1,5,3,5,Yes,5,"Family Interaction, Exercise",2,Yes,No,3
202-17-3500,22,Male,2.96,24.0,7.9,6.4,0.0,1,2,3,5,7,Yes,1,"Substance Use, Isolation",4,No,No,1
523-31-2613,21,Male,2.69,28.0,3.0,3.7,6.7,4,3,3,5,6,No,2,"Exercise, Meditation",1,Yes,No,4
254-42-8904,18,Female,2.96,30.0,1.9,6.4,2.2,3,1,1,5,5,No,4,"Family Interaction, Exercise",4,No,No,1
799-05-5204,21,Male,3.17,31.0,7.0,6.7,6.1,4,4,5,2,5,No,5,"Meditation, Journaling",5,Yes,No,2
390-16-0228,18,Female,2.92,31.0,7.9,5.6,4.1,3,3,3,1,5,No,4,"Exercise, Meditation",4,Yes,No,3
208-48-5788,22,Female,2.92,26.0,4.0,6.2,0.0,5,1,3,1,3,No,5,"Journaling, Exercise",3,Yes,No,3
890-19-8390,22,Female,2.55,23.0,6.0,8.6,4.5,5,5,3,1,5,No,4,"Exercise, Journaling",5,Yes,No,5
437-37-2214,19,Female,2.57,23.0,6.7,7.6,10.6,5,2,5,1,5,No,2,"Exercise, Journaling",2,Yes,No,4
110-72-8540,20,Polygender,2.2,23.0,2.5,5.7,5.5,2,1,1,1,4,No,4,"Journaling, Family Interaction",5,Yes,No,3
579-55-4938,19,Polygender,3.77,36.0,3.0,4.9,3.8,3,2,3,4,6,No,1,"Journaling, Exercise",1,Yes,No,2
466-18-6728,21,Female,2.28,31.0,6.5,6.4,7.2,2,5,4,5,7,No,4,"Overthinking, Substance Use",1,No,No,1
450-92-7163,23,Female,2.55,0.0,7.4,6.5,4.6,4,1,5,4,5,Yes,5,"Family Interaction, Meditation",4,Yes,No,3
305-74-1381,19,Male,2.54,32.0,5.1,7.4,4.6,2,4,2,2,6,No,3,"Family Interaction, Exercise",5,No,Yes,2
479-46-7256,22,Genderqueer,3.35,27.0,2.2,6.2,0.7,4,3,1,3,4,Yes,4,"Family Interaction, Exercise",2,Yes,No,1
354-85-7597,20,Male,2.75,25.0,8.0,7.4,4.7,4,1,4,5,5,No,4,"Journaling, Meditation",1,Yes,Yes,5
561-12-6582,19,Male,3.52,21.0,2.9,9.1,7.1,4,5,3,2,5,No,4,"Exercise, Meditation",2,No,No,3
851-42-5437,21,Female,2.56,36.0,3.3,7.8,1.5,2,1,2,4,5,No,5,"Family Interaction, Meditation",3,No,Yes,3
382-54-7314,19,Male,3.04,34.0,4.7,6.7,8.3,3,2,1,3,4,No,4,"Journaling, Exercise",1,No,Yes,2
550-68-8072,20,Male,2.48,17.0,7.1,6.6,3.7,2,1,5,2,5,No,5,"Exercise, Meditation",4,No,No,4
888-49-6708,19,Male,3.97,29.0,5.7,6.4,1.3,3,4,2,3,5,Yes,5,"Journaling, Exercise",3,No,Yes,5
593-90-7730,25,Male,2.31,15.0,4.8,8.2,7.0,3,1,2,2,4,No,3,"Family Interaction, Meditation",5,Yes,Yes,4
309-75-5842,21,Male,3.05,11.0,4.9,6.0,3.1,4,3,4,4,7,No,1,"Isolation, Excessive Screen Time",2,No,No,3
858-22-8290,20,Male,3.22,19.0,4.1,6.9,6.3,2,1,1,3,4,No,5,"Exercise, Family Interaction",1,No,No,4
894-23-4350,21,Female,3.11,34.0,5.1,6.9,3.1,3,2,4,2,6,Yes,2,"Exercise, Journaling",3,Yes,Yes,1
839-24-2141,21,Male,2.81,35.0,0.0,6.2,3.8,5,1,4,4,5,No,4,"Family Interaction, Exercise",3,No,Yes,5
783-83-0580,21,Genderfluid,2.84,30.0,3.4,5.2,5.5,3,4,3,5,7,Yes,2,"Isolation, Overthinking",1,Yes,Yes,4
858-67-4388,22,Female,2.92,32.0,4.5,7.2,4.9,5,5,5,4,6,No,4,"Meditation, Exercise",5,Yes,No,1
744-22-9388,23,Male,2.83,30.0,1.7,6.7,0.0,2,1,2,4,5,No,3,"Journaling, Family Interaction",5,Yes,Yes,2
762-39-4942,20,Male,3.38,19.0,4.8,7.4,0.6,2,1,1,5,5,No,5,"Journaling, Exercise",4,No,Yes,4
463-52-5345,20,Female,4.0,29.0,3.6,6.2,6.8,2,3,5,4,8,Yes,1,"Isolation, Overthinking",5,Yes,No,5
392-14-8873,20,Male,2.62,33.0,7.5,8.3,3.6,3,4,5,5,7,Yes,5,"Overthinking, Excessive Screen Time",4,No,Yes,1
789-40-6037,18,Male,2.22,33.0,7.1,5.7,2.4,1,5,1,5,7,Yes,4,"Substance Use, Overthinking",3,No,Yes,4
136-03-8608,18,Male,2.86,37.0,3.1,8.9,0.0,3,2,5,5,7,Yes,1,"Overthinking, Isolation",1,Yes,Yes,2
513-74-3727,24,Male,4.0,32.0,3.7,4.7,0.8,3,1,3,2,4,No,5,"Journaling, Family Interaction",5,Yes,No,4
668-31-1758,24,Female,2.5,29.0,3.9,7.3,0.0,4,5,5,3,7,Yes,1,"Substance Use, Isolation",4,Yes,No,1
729-58-5962,21,Male,3.72,36.0,3.1,7.4,3.7,4,2,3,2,4,Yes,4,"Exercise, Journaling",3,No,Yes,4
312-59-9234,22,Female,3.74,25.0,4.4,5.8,2.2,3,4,2,5,6,No,3,"Meditation, Family Interaction",5,Yes,Yes,5
146-66-6851,22,Male,2.62,16.0,2.5,7.3,1.1,5,4,2,3,5,No,3,"Meditation, Journaling",2,No,No,3
864-73-0913,27,Male,3.18,23.0,1.7,8.3,3.8,4,5,4,3,6,No,5,"Exercise, Meditation",3,Yes,Yes,1
897-17-0811,23,Female,3.71,18.0,5.2,4.1,5.1,3,2,3,5,6,No,2,"Meditation, Exercise",5,No,No,1
488-51-3997,21,Female,2.71,18.0,5.3,7.4,10.3,1,4,2,3,6,No,4,"Family Interaction, Meditation",3,No,No,1
251-46-4115,19,Non-binary,2.8,24.0,2.4,3.8,0.0,5,5,5,3,6,No,5,"Meditation, Journaling",1,No,No,1
110-77-5199,18,Male,2.61,17.0,5.8,5.6,7.5,2,4,1,2,5,No,5,"Meditation, Family Interaction",1,No,No,4
337-38-5119,21,Non-binary,2.39,22.0,2.7,8.8,6.9,3,4,1,3,5,No,3,"Exercise, Journaling",1,Yes,No,5
652-68-4139,19,Male,2.58,6.0,4.5,6.1,1.7,3,4,3,5,7,Yes,1,"Substance Use, Isolation",2,No,Yes,2
389-50-2944,18,Female,2.29,27.0,5.6,5.4,4.6,5,3,4,1,4,No,4,"Family Interaction, Meditation",1,No,Yes,5
757-52-0603,20,Male,2.92,25.0,3.9,6.6,2.6,4,2,5,1,6,Yes,1,"Family Interaction, Journaling",2,No,No,1
276-75-5554,19,Polygender,2.52,17.0,4.9,9.3,4.6,4,5,3,1,5,No,4,"Meditation, Journaling",1,No,No,4
421-35-8280,24,Male,3.02,32.0,3.0,4.6,8.5,4,5,1,5,6,No,2,"Family Interaction, Journaling",3,No,Yes,4
637-82-3471,23,Male,2.12,34.0,3.6,5.5,5.8,2,2,3,1,5,Yes,3,"Journaling, Exercise",5,Yes,No,1
454-66-7440,21,Non-binary,3.07,9.0,3.6,8.6,5.5,5,2,5,2,5,Yes,2,"Family Interaction, Exercise",5,Yes,Yes,4
753-28-7167,24,Male,3.32,17.0,2.5,9.0,2.7,5,2,2,5,4,No,5,"Family Interaction, Exercise",1,Yes,No,1
203-49-0874,21,Female,1.9,17.0,3.6,6.7,0.0,4,2,5,5,6,Yes,3,"Exercise, Family Interaction",5,No,Yes,5
415-41-7143,19,Male,3.09,16.0,0.9,5.3,3.4,4,1,2,5,4,Yes,5,"Journaling, Meditation",1,No,Yes,3
352-71-4280,24,Male,3.51,33.0,3.0,9.3,7.6,1,5,2,3,7,Yes,2,"Isolation, Overthinking",1,No,Yes,4
237-08-5949,22,Female,2.3,23.0,3.4,8.7,0.0,1,1,2,3,5,No,4,"Exercise, Meditation",4,Yes,Yes,1
134-38-2267,19,Female,3.74,22.0,3.5,7.6,0.8,3,4,3,3,5,No,5,"Meditation, Family Interaction",4,Yes,No,1
547-88-1614,21,Genderfluid,3.11,5.0,3.5,5.8,4.4,3,4,1,4,6,No,1,"Meditation, Family Interaction",4,Yes,No,4
804-74-5321,19,Male,2.55,31.0,3.9,6.7,1.0,5,5,3,2,5,No,4,"Meditation, Exercise",2,Yes,Yes,2
313-73-8228,18,Female,2.87,13.0,5.0,6.6,1.6,5,4,1,5,5,No,4,"Meditation, Family Interaction",4,No,Yes,1
808-63-1924,23,Male,3.18,26.0,5.7,7.2,2.7,2,2,5,5,7,No,2,"Excessive Screen Time, Isolation",1,No,No,4
642-70-1410,25,Female,2.94,28.0,2.7,8.5,0.0,2,1,4,3,6,No,2,"Meditation, Family Interaction",3,No,Yes,1
556-62-7808,18,Male,3.17,39.0,1.6,7.9,1.1,1,2,5,5,7,Yes,3,"Overthinking, Excessive Screen Time",4,Yes,Yes,2
800-14-7482,22,Female,2.44,12.0,1.9,5.5,6.1,3,4,3,5,7,Yes,3,"Substance Use, Overthinking",4,No,Yes,3
662-06-0085,20,Male,2.98,0.0,3.0,8.5,0.1,1,1,3,1,6,Yes,1,"Meditation, Journaling",3,No,No,2
299-74-7887,20,Female,2.19,27.0,3.3,7.2,0.0,1,2,1,5,6,No,4,"Family Interaction, Exercise",1,No,Yes,5
145-29-0147,20,Male,2.84,43.0,2.5,7.6,2.1,3,5,3,4,7,Yes,1,"Overthinking, Isolation",2,Yes,No,4
815-87-5163,19,Male,2.45,37.0,1.4,8.6,6.2,2,2,2,3,6,No,1,"Family Interaction, Journaling",4,Yes,Yes,2
753-61-1198,21,Female,2.53,27.0,3.1,5.5,3.4,3,4,3,2,6,No,2,"Family Interaction, Meditation",3,Yes,No,3
461-28-4962,19,Male,3.52,20.0,4.4,6.8,2.6,4,1,1,2,4,No,1,"Family Interaction, Meditation",1,No,No,1
413-03-4492,22,Female,3.45,33.0,5.2,6.2,4.1,4,5,1,1,5,No,1,"Meditation, Exercise",5,No,No,4
753-01-4944,21,Female,3.2,15.0,2.9,4.9,0.0,4,1,2,2,3,No,5,"Journaling, Family Interaction",2,Yes,Yes,2
198-16-6530,21,Female,2.35,30.0,3.2,7.2,5.5,5,5,1,2,5,No,3,"Journaling, Meditation",3,No,No,3
602-70-7449,19,Male,2.74,30.0,2.1,9.8,5.2,2,1,4,3,6,Yes,3,"Journaling, Meditation",3,Yes,No,2
807-08-9130,20,Male,3.51,36.0,3.9,4.6,2.8,2,4,5,3,7,Yes,4,"Isolation, Excessive Screen Time",3,Yes,Yes,5
682-85-4744,23,Female,2.97,53.0,2.3,6.8,7.0,5,5,3,4,6,No,3,"Exercise, Family Interaction",4,Yes,No,4
477-39-7180,22,Female,4.0,29.0,5.1,7.6,0.6,1,3,4,1,6,Yes,4,"Meditation, Family Interaction",5,No,Yes,1
187-89-3320,19,Female,3.1,20.0,0.4,6.9,7.4,4,1,3,2,4,No,5,"Meditation, Journaling",2,No,No,3
724-36-6125,21,Female,3.0,25.0,3.3,6.7,4.5,4,1,4,4,5,Yes,3,"Exercise, Family Interaction",1,No,No,2
857-86-6617,23,Female,2.75,7.0,4.6,5.2,3.0,1,2,3,1,5,No,5,"Meditation, Exercise",1,No,Yes,4
561-26-2299,18,Female,2.97,18.0,4.4,7.1,3.9,3,5,2,2,6,Yes,3,"Journaling, Family Interaction",5,No,No,2
311-80-2077,22,Female,2.82,21.0,9.4,5.9,3.7,3,3,1,2,5,No,3,"Meditation, Exercise",3,Yes,Yes,4
444-95-5357,20,Female,3.25,20.0,4.7,4.2,7.7,2,4,1,3,5,Yes,5,"Meditation, Exercise",3,Yes,Yes,5
745-17-9052,22,Male,3.38,27.0,2.0,8.2,0.8,5,2,2,5,6,Yes,1,"Family Interaction, Exercise",3,No,No,2
508-21-9829,19,Agender,2.51,17.0,3.8,8.0,1.7,2,3,4,1,6,Yes,1,"Family Interaction, Exercise",3,No,No,5
851-45-3801,18,Male,2.23,36.0,0.4,6.9,7.1,3,5,5,2,7,No,1,"Overthinking, Isolation",3,Yes,No,3
677-98-2595,18,Male,1.98,25.0,3.8,7.1,2.2,1,3,4,1,7,No,1,"Isolation, Excessive Screen Time",5,No,No,5
200-05-4427,21,Male,3.15,25.0,2.3,8.1,6.7,2,1,1,4,5,No,3,"Journaling, Family Interaction",4,Yes,Yes,4
606-27-0947,22,Male,2.35,22.0,5.8,7.1,9.1,4,1,5,4,6,Yes,2,"Meditation, Family Interaction",2,Yes,No,3
780-34-7404,19,Male,1.82,27.0,2.9,7.9,2.8,4,2,3,5,5,Yes,5,"Family Interaction, Meditation",3,No,No,2
578-68-4662,22,Female,3.09,33.0,3.8,6.4,6.0,1,5,5,2,8,Yes,2,"Substance Use, Isolation",4,No,Yes,2
559-73-5257,18,Male,4.0,16.0,2.7,8.4,0.5,3,5,4,3,7,No,2,"Excessive Screen Time, Substance Use",1,No,No,4
270-63-4953,21,Male,2.9,18.0,7.5,7.2,6.3,4,3,2,2,4,No,4,"Meditation, Family Interaction",5,Yes,No,1
351-32-7438,19,Male,3.32,22.0,3.4,7.0,4.6,4,2,3,1,5,No,1,"Family Interaction, Exercise",4,Yes,Yes,1
123-28-3736,20,Male,2.94,12.0,7.7,5.3,5.4,5,5,4,4,6,No,3,"Exercise, Meditation",3,No,Yes,2
551-07-0629,21,Female,2.85,17.0,5.6,7.1,2.1,2,1,3,1,5,No,1,"Family Interaction, Meditation",3,Yes,No,4
426-06-7163,19,Male,3.36,20.0,5.0,5.8,0.0,3,3,5,5,8,No,1,"Substance Use, Isolation",3,Yes,Yes,1
710-66-1494,20,Female,2.75,34.0,4.7,6.0,5.5,2,4,1,4,6,No,2,"Meditation, Exercise",4,No,Yes,5
426-11-4313,23,Male,3.03,28.0,4.8,5.8,0.0,3,1,4,3,5,No,4,"Exercise, Family Interaction",3,No,Yes,2
540-91-7162,20,Male,3.06,27.0,0.1,5.5,3.0,4,2,2,4,6,No,1,"Family Interaction, Journaling",4,No,No,5
311-67-1045,23,Female,2.57,34.0,3.4,9.3,6.8,5,5,5,2,5,No,5,"Exercise, Family Interaction",3,No,Yes,4
617-48-8523,19,Male,3.4,24.0,5.7,8.4,4.6,2,1,4,2,5,Yes,5,"Meditation, Journaling",1,Yes,Yes,5
400-92-3567,22,Female,2.81,29.0,3.9,9.1,9.8,4,4,2,4,6,Yes,1,"Journaling, Meditation",1,No,No,1
659-59-5137,24,Male,2.52,24.0,1.2,5.3,7.1,3,4,4,5,7,Yes,2,"Isolation, Excessive Screen Time",2,Yes,Yes,1
330-13-8536,18,Male,3.17,28.0,3.9,6.9,2.0,2,2,5,2,6,No,2,"Meditation, Family Interaction",3,No,No,3
654-71-3880,19,Male,2.45,19.0,7.4,5.2,4.1,2,1,4,2,5,No,3,"Exercise, Family Interaction",3,No,No,2
379-34-7617,22,Female,2.91,1.0,6.5,6.0,3.9,4,3,3,3,5,Yes,4,"Exercise, Journaling",4,No,No,4
650-55-0326,21,Female,2.9,24.0,3.9,5.7,0.0,2,1,5,4,7,No,2,"Excessive Screen Time, Substance Use",4,Yes,No,2
626-99-1919,22,Male,3.44,39.0,5.9,8.3,1.2,5,4,4,2,5,Yes,3,"Exercise, Meditation",3,No,Yes,5
746-48-8600,20,Female,3.14,34.0,3.3,6.3,2.3,5,2,1,5,4,No,5,"Family Interaction, Exercise",2,Yes,No,4
336-64-6627,21,Male,2.89,35.0,0.6,8.1,0.0,4,2,4,1,4,Yes,5,"Exercise, Journaling",3,No,Yes,4
454-52-5179,21,Male,3.31,37.0,2.2,7.5,4.1,3,3,3,4,5,No,5,"Journaling, Exercise",4,Yes,Yes,1
241-31-8936,23,Female,3.6,26.0,7.1,9.6,3.3,4,2,2,3,5,No,1,"Meditation, Exercise",3,No,Yes,5
683-71-7475,22,Male,3.18,27.0,3.5,5.0,0.0,5,2,2,2,4,Yes,4,"Exercise, Meditation",4,Yes,No,1
569-85-6676,22,Female,2.91,19.0,3.5,8.3,5.2,1,2,2,5,6,No,3,"Journaling, Exercise",3,Yes,No,1
593-17-5747,20,Male,2.24,22.0,3.4,8.2,6.1,1,2,1,4,5,No,4,"Exercise, Family Interaction",5,No,No,3
510-80-3056,20,Male,2.37,31.0,7.8,5.6,4.7,2,2,3,5,7,No,1,"Isolation, Substance Use",4,No,Yes,1
880-57-0413,20,Male,2.75,37.0,7.3,8.0,3.0,2,4,5,5,8,Yes,3,"Isolation, Overthinking",2,No,No,2
779-50-6123,22,Female,2.6,24.0,8.4,7.2,5.8,1,1,2,3,5,No,3,"Journaling, Exercise",5,No,Yes,4
223-73-6426,20,Female,2.81,20.0,3.7,6.5,6.0,5,5,3,4,6,No,2,"Journaling, Meditation",3,Yes,No,1
677-75-1654,22,Male,2.93,25.0,4.6,5.8,4.9,2,2,4,2,5,Yes,4,"Journaling, Meditation",4,No,Yes,2
846-50-6000,25,Male,3.16,31.0,1.0,5.9,1.5,4,5,1,3,5,No,4,"Meditation, Family Interaction",5,Yes,No,5
465-30-9041,23,Female,2.86,11.0,7.0,9.3,4.8,4,5,3,2,6,No,2,"Exercise, Meditation",2,No,No,4
199-36-3330,20,Female,3.14,2.0,1.7,6.8,7.6,5,4,3,1,4,No,5,"Meditation, Exercise",4,Yes,Yes,5
741-94-3934,23,Male,2.93,19.0,4.4,7.7,2.2,2,2,5,5,8,Yes,1,"Overthinking, Substance Use",5,Yes,No,2
620-59-7310,20,Female,1.91,13.0,1.8,5.9,10.3,4,5,3,1,5,No,4,"Exercise, Family Interaction",5,No,Yes,5
318-20-1854,18,Male,2.43,20.0,2.8,5.9,2.4,2,2,5,5,7,No,2,"Overthinking, Isolation",5,Yes,No,5
361-13-4964,19,Male,2.83,24.0,2.3,8.1,4.1,2,3,1,3,5,Yes,3,"Exercise, Journaling",1,No,No,5
558-06-2488,18,Male,2.3,20.0,2.8,5.2,2.0,4,3,1,2,5,No,2,"Journaling, Exercise",3,Yes,Yes,1
647-49-6549,20,Male,3.2,40.0,2.9,6.3,4.7,1,3,4,2,6,No,5,"Family Interaction, Meditation",4,No,Yes,1
396-10-9556,21,Male,3.67,28.0,2.9,6.8,0.0,4,5,5,3,7,No,1,"Overthinking, Substance Use",4,No,No,1
163-45-2420,24,Male,3.51,28.0,5.7,6.9,2.4,5,3,5,4,5,No,5,"Exercise, Family Interaction",4,Yes,No,4
263-28-9222,22,Female,2.79,31.0,1.8,6.6,0.7,3,4,2,1,5,No,3,"Journaling, Exercise",5,No,Yes,2
863-56-3929,21,Female,3.65,14.0,4.4,7.3,4.4,4,4,2,1,5,No,3,"Meditation, Family Interaction",3,Yes,No,1
823-55-1413,23,Female,2.97,35.0,6.4,7.6,7.0,2,5,4,2,7,No,3,"Overthinking, Substance Use",2,Yes,No,5
393-36-0386,18,Male,2.73,24.0,3.0,7.7,5.9,2,2,1,2,5,Yes,3,"Exercise, Meditation",4,No,No,5
483-79-6469,21,Male,2.59,32.0,2.6,5.6,0.0,4,1,2,2,4,No,2,"Meditation, Journaling",3,No,No,5
886-41-9710,23,Male,2.75,14.0,3.5,6.5,10.1,3,2,3,3,5,No,3,"Exercise, Family Interaction",3,No,No,5
123-52-5485,18,Male,2.71,9.0,6.4,8.2,4.9,4,2,1,4,5,No,3,"Journaling, Exercise",1,No,No,3
584-25-5327,23,Female,2.99,33.0,4.4,7.9,1.7,3,2,3,1,5,No,2,"Journaling, Meditation",4,Yes,No,4
282-64-9511,22,Female,2.98,29.0,2.9,5.2,4.5,3,2,5,5,7,Yes,3,"Excessive Screen Time, Substance Use",5,No,Yes,2
839-90-7246,20,Male,2.9,16.0,5.0,7.2,4.5,5,1,1,3,3,No,5,"Exercise, Journaling",3,No,No,2
197-16-6156,22,Male,3.12,16.0,1.8,4.4,2.0,2,3,4,1,5,No,5,"Meditation, Family Interaction",3,No,No,1
453-60-8989,26,Female,3.5,36.0,5.4,6.9,4.6,2,2,5,4,6,Yes,4,"Meditation, Journaling",2,No,Yes,3
219-08-7978,21,Female,3.37,13.0,4.8,9.1,2.2,3,4,5,3,6,No,5,"Journaling, Exercise",1,Yes,Yes,2
817-75-9957,21,Female,2.16,41.0,3.4,5.7,2.8,2,5,3,1,7,No,1,"Excessive Screen Time, Substance Use",3,Yes,No,4
257-59-3889,20,Bigender,1.62,16.0,2.3,5.8,1.9,1,5,5,3,8,No,1,"Overthinking, Isolation",3,No,No,5
648-04-5327,19,Male,3.37,31.0,2.2,7.7,0.0,3,4,2,1,6,No,1,"Family Interaction, Journaling",5,Yes,No,1
259-06-7837,23,Male,2.22,22.0,5.1,4.9,4.4,2,2,1,1,5,No,2,"Journaling, Exercise",5,Yes,Yes,4
174-42-7135,19,Male,2.79,31.0,6.5,6.0,5.8,1,1,2,4,5,No,5,"Journaling, Meditation",2,No,No,2
478-23-0281,21,Male,2.31,20.0,2.7,7.5,5.5,5,3,3,5,6,Yes,1,"Journaling, Meditation",2,Yes,No,3
224-73-0992,20,Female,2.0,23.0,4.9,6.0,6.5,2,5,3,4,7,Yes,4,"Isolation, Overthinking",2,No,Yes,1
636-25-9534,22,Female,3.17,25.0,0.0,6.5,5.0,1,3,1,1,5,No,2,"Journaling, Family Interaction",5,Yes,Yes,2
393-27-9582,22,Female,3.28,15.0,2.8,7.7,2.4,4,1,5,3,5,No,4,"Journaling, Exercise",5,Yes,Yes,1
318-38-9465,23,Male,2.61,32.0,3.9,7.3,6.5,4,5,4,4,6,No,5,"Meditation, Family Interaction",1,Yes,No,2
